stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"4,219",86.5,84.9,4874747,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,749,101.2,106.0,739795,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"6,128",87.3,83.2,7016270,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,622",87.3,85.3,3004279,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"20,508",51.9,49.3,39536653,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"4,545",81.1,79.6,5607154,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"2,627",73.2,67.5,3588184,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,802,83.4,82.5,961939,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,617,88.9,86.2,693972,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"17,741",84.5,77.1,20984400,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"7,083",67.9,67.7,10429379,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,882,61.8,55.5,1427538,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,"1,349",78.6,78.1,1716943,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"8,765",68.5,65.7,12802023,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"5,708",85.6,84.8,6666818,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"2,162",68.7,62.7,3145711,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
