stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,695",79.1,78.4,4672840,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,570,83.8,89.1,680300,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"4,845",78.6,79.2,6167681,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,204",77.4,76.7,2848650,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"18,028",49.7,49.6,36250311,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"3,172",66.0,67.3,4803868,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"1,765",50.0,46.8,3527270,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,471,54.0,53.3,871749,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,412,71.7,67.6,574404,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"13,179",71.8,68.3,18367842,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"5,889",63.0,65.4,9349988,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,693,52.7,49.4,1315675,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,940,62.5,63.5,1505105,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,421",50.6,49.8,12695866,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"3,875",60.7,60.4,6379599,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"1,660",55.3,50.9,2999212,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,765",63.4,61.4,2783785,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,331",78.3,77.8,4256672,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"3,769",86.1,86.5,4375581,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,816,61.5,58.4,1327040,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"3,365",59.5,59.0,5653408,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
