stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,772",78.6,77.1,4798649,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,582,80.6,84.3,722259,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"4,819",74.5,73.4,6465488,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,252",76.6,75.8,2938640,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"17,132",45.5,44.6,37672654,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"3,541",69.2,69.6,5116411,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"1,866",51.9,47.6,3591927,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,514,56.6,54.8,907884,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,358,57.7,54.5,620336,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"13,118",68.7,63.0,19097369,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"5,653",57.6,59.1,9810595,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,785,57.0,52.2,1378323,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,"1,064",67.2,67.8,1583180,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,358",49.4,48.2,12862298,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"4,056",62.3,61.5,6515358,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"1,887",61.6,56.8,3063690,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,915",66.8,64.3,2868756,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,569",81.7,81.2,4368505,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"3,285",71.8,71.6,4574388,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,850,64.0,58.2,1327968,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"3,122",53.4,51.8,5843115,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Massachusetts,"3,114",47.1,43.3,6612178,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"6,139",62.2,60.2,9876199,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"3,177",59.4,55.4,5345967,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"2,469",82.9,83.1,2977452,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"4,627",77.0,74.7,6010280,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,906,90.9,86.2,996866,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,968,52.6,49.7,1841641,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"1,852",68.1,67.9,2718170,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Hampshire,802,60.8,55.6,1318345,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Jersey,"3,878",43.8,41.8,8844694,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Mexico,"1,946",93.7,94.4,2077744,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"8,336",42.7,40.0,19526372,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"6,110",63.2,62.0,9662940,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,422,61.6,56.9,684830,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"7,507",65.0,62.5,11543332,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"3,306",87.3,86.9,3785232,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,582",66.8,62.3,3865845,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"8,827",69.3,64.3,12742811,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,677,64.3,56.8,1052154,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"3,342",71.5,70.5,4672744,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,579,70.3,65.6,823338,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"4,991",78.0,76.5,6396281,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"13,844",54.0,56.0,25644424,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,793",63.7,71.3,2815430,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,438,69.9,63.1,626210,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"4,272",52.7,51.8,8107548,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"4,041",59.3,56.9,6819155,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,901",102.5,99.7,1854891,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"3,640",63.8,59.4,5705812,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,480,84.6,85.1,567602,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
