agegrp,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
0 to 4,"3,391",16.8,16.8,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
5 to 9,905,4.4,4.4,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
10 to 14,"1,341",6.5,6.5,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
15 to 19,"8,182",37.1,37.1,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
20 to 24,"13,967",64.7,64.7,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
25 to 29,"13,501",64.0,64.0,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
30 to 34,"11,975",60.0,60.0,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
35 to 39,"11,855",58.7,58.7,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
40 to 44,"13,021",62.3,62.3,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
45 to 49,"16,115",71.0,71.0,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
50 to 54,"15,713",70.5,70.5,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
55 to 59,"12,844",65.3,65.3,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
60 to 64,"9,404",55.9,55.9,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
65 to 69,"6,791",54.6,54.6,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
70 to 74,"6,246",67.3,67.3,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
75 to 79,"7,230",98.8,98.8,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
80 to 84,"9,062",157.8,157.8,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
85 and up,"19,225",349.9,349.9,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Unknown,43,0.0,0.0,"Start Year: 2010, End Year: 2010, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
