agegrp,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
0 to 4,"3,130",15.8,15.8,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
5 to 9,878,4.3,4.3,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
10 to 14,"1,361",6.6,6.6,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
15 to 19,"7,113",33.8,33.8,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
20 to 24,"14,421",63.0,63.0,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
25 to 29,"14,777",67.3,67.3,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
30 to 34,"14,254",66.2,66.2,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
35 to 39,"12,921",64.9,64.9,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
40 to 44,"13,391",65.1,65.1,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
45 to 49,"15,020",72.0,72.0,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
50 to 54,"17,528",77.7,77.7,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
55 to 59,"15,788",73.5,73.5,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
60 to 64,"11,729",63.2,63.2,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
65 to 69,"8,956",58.5,58.5,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
70 to 74,"7,901",71.4,71.4,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
75 to 79,"8,134",102.7,102.7,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
80 to 84,"9,514",165.2,165.2,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
85 and up,"22,904",372.2,372.2,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Unknown,32,0.0,0.0,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
